Carry,TotalDistance,BallSpeed,BackSpin,SideSpin,HLA,VLA,Decent,DistanceToPin,PeakHeight,Offline,rawSpinAxis,rawCarryGame,rawCarryLM,Club,ClubSpeed,Path,AoA,FaceToTarget,FaceToPath,Lie,Loft,DynamicLoft,CR,HI,VI,SmashFactor
116.2167,136.9885,98.60797,3591.681,1293.21,4.790602,10.29978,20.73349,27.49 yds,8.382772,21.49995,21.1037,115.8185,0,I7,78.14835,-7.309476,0,6.945529,-14.255,0,0,0,0,0,0,0
113.475,120.0167,89.78764,8446.941,-265.7184,-5.769617,26.40162,49.1605,21.04 yds,26.29455,-12.91383,-1.802671,113.3994,0,I7,74.23109,-3.152189,0,-6.54376,3.391571,0,0,0,0,0,0,0
80.98736,89.5338,69.81235,5808.001,-1384.327,-17.12974,29.47101,42.7684,60.95 yds,16.43964,-28.80923,-13.78907,80.8801,0,I7,75.99712,-3.810476,0,-15,11.18952,0,0,0,0,0,0,0
143.694,151.7259,105.5109,6265.376,332.0606,-4.491379,24.37546,50.02372,18.18 yds,33.7671,-7.638699,3.03806,143.552,0,I7,78.6767,-7.577476,0,-4.313531,-3.263944,0,0,0,0,0,0,0
112.7167,120.289,88.62299,8000.964,-720.5282,-5.804899,24.33642,45.85801,23.21 yds,23.18604,-15.4894,-5.166781,112.5597,0,I7,75.25903,1.195632,0,-7.249014,8.444646,0,0,0,0,0,0,0
76.4253,80.73806,69.41753,6846.503,216.339,-6.591272,39.40916,54.26428,55.52 yds,23.85283,-8.055133,1.81076,76.42044,0,I7,77.1933,-8.640504,0,-6.70801,-1.932494,0,0,0,0,0,0,0
134.3306,141.6331,100.3371,6755.633,391.3228,-3.321332,23.59764,48.60542,23.21 ft,29.35202,-4.250491,3.32074,134.3268,0,I7,78.41353,-6.970422,0,-2.981588,-3.988834,0,0,0,0,0,0,0
114.2382,122.941,89.06947,6708.397,-598.6385,0.03008854,28.04,49.27401,13.13 yds,27.15836,-4.025992,-5.119725,114.1614,0,I7,70.27973,6.258441,0,-0.9167162,7.175158,0,0,0,0,0,0,0
121.6943,131.2645,91.74409,5768.956,115.0819,-3.738746,23.28809,44.58546,25.61 ft,23.30528,-6.983062,1.14304,121.5394,0,I7,80.78877,-4.780334,0,-3.823363,-0.9569702,0,0,0,0,0,0,0
119.4437,132.014,91.59695,6526.365,164.0332,-5.890704,20.64034,41.08023,12.71 yds,20.35973,-11.07841,1.44022,119.3422,0,I7,80.4302,-7.381945,0,-6.046854,-1.335092,0,0,0,0,0,0,0
132.9925,139.6776,100.4158,7060.016,925.8831,-0.4643427,24.94715,50.09257,26.29 ft,31.08421,6.977846,7.53574,132.9376,0,I7,78.61525,-9.076015,0,0.817255,-9.89327,0,0,0,0,0,0,0
122.1634,129.3777,94.2935,7828.895,-354.0553,-6.770004,24.6769,48.2009,19.25 yds,27.08893,-16.80973,-2.592038,122.1341,0,I7,79.63252,-3.518986,0,-7.705757,4.18677,0,0,0,0,0,0,0
120.1931,126.1095,92.87983,7690.326,663.9113,-0.3472187,23.91964,46.43851,29.95 ft,25.22015,3.710276,4.95255,120.1777,0,I7,78.82267,-6.506046,0,0.5683595,-7.074406,0,0,0,0,0,0,0
124.8288,132.9745,96.2672,5700.252,1524.575,9.843441,16.06091,35.09986,37.24 yds,16.28249,33.58175,15.51303,124.7093,0,I7,80.56508,-3.993516,0,12.59174,-16.58525,0,0,0,0,0,0,0
60.61334,74.03138,68.95039,4234.979,-1878.729,-21.50297,13.67165,18.29366,76.5 yds,4.530987,-26.29396,-26.3352,60.29623,0,I7,75.32553,-3.265657,0,-15,11.73434,0,0,0,0,0,0,0
92.83856,95.81124,80.73397,10116.6,-317.5906,-7.004824,34.28306,54.27982,42.25 yds,28.15985,-12.49085,-1.798983,92.82294,0,I7,78.87656,-4.060685,0,-7.909109,3.848424,0,0,0,0,0,0,0
118.0236,140.159,99.93949,3231.887,779.2477,-1.562909,9.369028,19.55804,25.54 ft,7.749085,4.671852,13.9522,117.7414,0,I7,78.59486,-8.812614,0,-0.560263,-8.252352,0,0,0,0,0,0,0
81.67483,87.44376,71.33781,7963.704,1007.383,5.796596,34.47998,50.0545,50.21 yds,21.72066,11.51906,7.2672,81.5973,0,I7,78.44838,-3.593045,0,7.604103,-11.19715,0,0,0,0,0,0,0
80.58973,84.19746,70.55023,8129.347,-1673.583,-18.13752,33.41013,49.05788,65.2 yds,20.32601,-29.97008,-11.88039,80.52306,0,I7,77.90016,-2.428557,0,-15,12.57144,0,0,0,0,0,0,0
71.44561,76.49599,64.96302,6272.649,-1483.641,-21.34282,36.16566,48.67453,73.4 yds,18.49019,-29.99103,-13.68156,71.31399,0,I7,75.51294,-6.976485,0,-15,8.023516,0,0,0,0,0,0,0
49.24783,69.37362,64.66245,3063.44,1429.428,-4.24739,12.63082,15.29195,65.79 yds,3.151733,-0.7740068,27.8144,48.80451,0,I7,80.35208,-15,0,-2.542297,-12.4577,0,0,0,0,0,0,0
