Carry,TotalDistance,BallSpeed,BackSpin,SideSpin,HLA,VLA,Decent,DistanceToPin,PeakHeight,Offline,rawSpinAxis,rawCarryGame,rawCarryLM,Club,ClubSpeed,Path,AoA,FaceToTarget,FaceToPath,Lie,Loft,DynamicLoft,CR,HI,VI,SmashFactor
45.50007,56.7645,51.74455,4828.699,-364.3271,-4.317445,23.94654,28.59991,93.99 yds,5.961416,-3.887501,-4.327099,45.26914,0,I7,51.86024,0.819388,0,-5.380875,6.200263,0,0,0,0,0,0,0
76.2046,86.11646,68.62204,7214.001,-267.1527,-1.381137,22.48088,35.02871,49.19 yds,11.21623,-2.57486,-2.122293,75.97761,0,I7,70.64459,1.384017,0,-1.892223,3.27624,0,0,0,0,0,0,0
110.9883,121.9876,85.2149,4878.499,746.9723,0.4394148,26.99718,45.37996,15.56 yds,23.01312,6.725478,8.8075,110.9458,0,I7,70.88013,-7.266406,0,1.641832,-8.908237,0,0,0,0,0,0,0
92.97924,101.408,76.79888,7414.319,1021.874,4.402988,27.53518,44.22087,36.84 yds,19.24585,11.39054,7.92197,92.8205,0,I7,72.19426,-5.946825,0,6.266076,-12.2129,0,0,0,0,0,0,0
122.8826,130.2971,93.32148,6486.981,49.09364,-2.82698,24.95357,47.00792,23.44 ft,26.45038,-5.670479,0.43362,122.7851,0,I7,73.36866,-3.316269,0,-2.9364,-0.379869,0,0,0,0,0,0,0
88.8148,98.881,78.6773,4591.676,1972.383,12.32413,17.79325,28.75789,53.06 yds,10.0285,28.36117,25.4394,88.58471,0,I7,75.60104,-6.752503,0,15,-21.7525,0,0,0,0,0,0,0
84.33414,96.44125,72.15327,5982.702,-159.6092,-4.515857,24.44138,37.4319,39.98 yds,13.96561,-7.259036,-1.528744,84.26212,0,I7,74.17358,-2.942427,0,-5.049386,2.106958,0,0,0,0,0,0,0
135.6496,143.8226,100.4135,6105.767,353.595,-1.654319,25.00033,49.49056,26 ft,31.06707,-0.4024376,3.31995,135.5888,0,I7,74.76676,-5.112406,0,-1.235198,-3.877208,0,0,0,0,0,0,0
97.20152,119.8545,100.3562,2762.642,946.0482,1.689059,6.310394,11.11808,21.15 yds,3.822558,9.759377,20.0258,96.57158,0,I7,76.52127,-7.350964,0,3.17603,-10.52699,0,0,0,0,0,0,0
119.8859,130.3137,92.03895,6997.85,-41.59446,-4.222198,24.02707,46.32734,11.23 yds,24.69065,-9.116482,-0.3405619,119.836,0,I7,76.80152,-3.82619,0,-4.557262,0.7310722,0,0,0,0,0,0,0
122.5909,131.1378,92.86588,6198.83,852.2568,-0.2597011,23.89904,45.808,24.69 ft,24.67575,6.242166,7.90244,122.4683,0,I7,78.97236,-8.150743,0,0.9254392,-9.076181,0,0,0,0,0,0,0
56.43591,72.833,62.12166,4436.355,-926.0151,-10.07929,17.22773,22.05418,65.94 yds,5.341878,-11.73255,-12.04813,56.16887,0,I7,77.02178,-1.288188,0,-12.0743,10.78611,0,0,0,0,0,0,0
91.98526,103.489,75.9418,6211.427,-243.8243,-4.756922,25.7959,41.23577,33.66 yds,17.03118,-8.738951,-2.249676,91.94678,0,I7,77.9031,-2.468369,0,-5.415071,2.946702,0,0,0,0,0,0,0
78.98987,86.99084,68.78878,6552.251,768.6378,4.505721,32.05408,46.52108,49.74 yds,18.0911,8.800804,6.73682,78.86165,0,I7,69.7498,-3.552091,0,6.026353,-9.578444,0,0,0,0,0,0,0
110.168,124.1153,85.23071,4901.494,738.7934,1.143162,22.91145,39.78706,14.72 yds,18.72401,7.723211,8.66913,109.9646,0,I7,73.26029,-6.230671,0,2.340801,-8.571472,0,0,0,0,0,0,0
